CPS Name,Lit. Name,system_name,sysname,cps_identifier,comp_ind,Msini,Msini_high,Msini_low,a,a_high,a_low,ecc,ecc_high,ecc_low,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax
HD 141399c,HD 141399c,HD 141399,HD141399,141399,2,1.263,0.047,0.048,2.114,0.036,0.037,0.044,0.013,0.013,5594.8,86.5,0.366,0.057,4.194,0.032,1.387,0.031,1.091,0.056,4.4082,0.77,0.02699
HD 141399 e,HD 141399 e,HD 141399,HD141399,141399,3,0.644,0.042,0.04,4.5,0.11,0.11,0.047,0.052,0.033,5594.8,86.5,0.366,0.057,4.194,0.032,1.387,0.031,1.091,0.056,4.4082,0.77,0.02699
HD 143761 b,rho CrB b,HD 143761,HD143761,143761,0,1.057,0.024,0.024,0.2213,0.0025,0.0025,0.0355,0.0035,0.0037,5770.3,84.0,-0.194,0.059,4.132,0.025,1.355,0.032,0.911,0.031,4.1938,0.61,0.05722
HD 143761c,rho CrB c,HD 143761,HD143761,143761,1,0.0885,0.0055,0.0056,0.4157,0.0046,0.0047,0.044,0.05,0.031,5770.3,84.0,-0.194,0.059,4.132,0.025,1.355,0.032,0.911,0.031,4.1938,0.61,0.05722
HD 145675 b,14 Her b,HD 145675,HD145675,145675,0,4.85,0.15,0.14,2.83,0.04,0.041,0.3674,0.0035,0.0038,5314.9,81.6,0.405,0.047,4.427,0.031,0.996,0.022,0.969,0.042,5.3762,0.9,0.05574
HD 145675c,14 Her c,HD 145675,HD145675,145675,1,5.8,1.4,1.0,16.4,9.3,4.3,0.45,0.17,0.15,5314.9,81.6,0.405,0.047,4.427,0.031,0.996,0.022,0.969,0.042,5.3762,0.9,0.05574
HD 145934 b,HD 145934 b,HD 145934,HD145934,145934,0,2.04,0.24,0.23,4.73,0.2,0.21,0.057,0.057,0.039,4823.7,78.1,0.095,0.06,3.011,0.059,6.931,0.172,1.813,0.232,5.1552,1.05,0.00436
HD 1461 b,HD 1461 b,HD 1461,HD1461,1461,0,0.0208,0.0019,0.0018,0.06361,0.00096,0.00099,0.062,0.06,0.042,5695.2,94.3,0.182,0.062,4.327,0.031,1.152,0.027,1.031,0.047,4.6106,0.68,0.04261
HD 1461c,HD 1461c,HD 1461,HD1461,1461,1,0.0222,0.0028,0.0028,0.1121,0.0017,0.0017,0.112,0.1,0.077,5695.2,94.3,0.182,0.062,4.327,0.031,1.152,0.027,1.031,0.047,4.6106,0.68,0.04261
HD 147379A b,HD 147379A b,HD 147379A,HD147379A,147379a,0,0.096,0.012,0.012,0.3315,0.0024,0.0024,0.096,0.11,0.068,4126.1,37.6,0.114,0.071,4.65,0.01,0.628,0.007,0.648,0.014,8.4608,1.41,0.09287
HD 154345 b,HD 154345 b,HD 154345,HD154345,154345,0,0.905,0.071,0.089,4.272,0.086,0.08,0.038,0.036,0.027,5490.6,81.1,-0.07,0.06,4.505,0.032,0.87,0.019,0.886,0.041,5.4564,0.76,0.05466
